inchikey,inchikey_connectivity,source_db,source_id,species_reported,species_accepted,plant_part,doi,evidence_tier,query_term,query_date
GEKKXBNQQCFXAH-CESRKTHKSA-N,GEKKXBNQQCFXAH,ChEMBL,CHEMBL406391,Magnolia sp.,Magnolia sp.,,,silver,pref_name__icontains=costunolide,2026-05-28T23:15:56Z
DCNAVROPXHTJGM-DKWJYAAYSA-N,DCNAVROPXHTJGM,ChEMBL,CHEMBL481693,Magnolia sp.,Magnolia sp.,,,silver,pref_name__icontains=costunolide,2026-05-28T23:15:56Z
OVDMFKGCVWVONO-BSTGVKIKSA-N,OVDMFKGCVWVONO,ChEMBL,CHEMBL499003,Magnolia sp.,Magnolia sp.,,,silver,pref_name__icontains=costunolide,2026-05-28T23:15:56Z
GSVWPONNFJXHJL-IOCBBESTSA-N,GSVWPONNFJXHJL,ChEMBL,CHEMBL429762,Magnolia sp.,Magnolia sp.,,,silver,pref_name__icontains=parthenolide,2026-05-28T23:15:56Z
KTEXNACQROZXEV-SLXBATTESA-N,KTEXNACQROZXEV,ChEMBL,CHEMBL540445,Magnolia sp.,Magnolia sp.,,,silver,pref_name__icontains=parthenolide,2026-05-28T23:15:56Z
UJNSFDHVIBGEJZ-WWNQAPGXSA-N,UJNSFDHVIBGEJZ,ChEMBL,CHEMBL1270635,Magnolia sp.,Magnolia sp.,,,silver,pref_name__icontains=parthenolide,2026-05-28T23:15:56Z
UJNSFDHVIBGEJZ-WWNQAPGXSA-N,UJNSFDHVIBGEJZ,ChEMBL,CHEMBL2206421,Magnolia sp.,Magnolia sp.,,,silver,pref_name__icontains=parthenolide,2026-05-28T23:15:56Z
DTZKTJXOROSTPI-YHDSQAASSA-N,DTZKTJXOROSTPI,ChEMBL,CHEMBL480759,Magnolia sp.,Magnolia sp.,,,silver,pref_name__icontains=magnolin,2026-05-28T23:15:56Z
AWOGQCSIVCQXBT-LATRNWQMSA-N,AWOGQCSIVCQXBT,ChEMBL,CHEMBL2442732,Magnolia sp.,Magnolia sp.,,,silver,pref_name__icontains=fargesin,2026-05-28T23:15:56Z
PEUUVVGQIVMSAW-RZTYQLBFSA-N,PEUUVVGQIVMSAW,ChEMBL,CHEMBL519099,Magnolia sp.,Magnolia sp.,,,silver,pref_name__icontains=eudesmin,2026-05-28T23:15:56Z
PEUUVVGQIVMSAW-RZTYQLBFSA-N,PEUUVVGQIVMSAW,ChEMBL,CHEMBL523743,Magnolia sp.,Magnolia sp.,,,silver,pref_name__icontains=eudesmin,2026-05-28T23:15:56Z
SYQIMSBCRURKCZ-DJDYIDPYSA-N,SYQIMSBCRURKCZ,ChEMBL,CHEMBL399526,Magnolia sp.,Magnolia sp.,,,silver,pref_name__icontains=kobusin,2026-05-28T23:15:56Z
VDBKGYFMEGDQHS-NKUBTWRXSA-N,VDBKGYFMEGDQHS,ChEMBL,CHEMBL249462,Magnolia sp.,Magnolia sp.,,,silver,pref_name__icontains=kobusin,2026-05-28T23:15:56Z
OFCHTGCBFRTISG-VUEDXXQZSA-N,OFCHTGCBFRTISG,ChEMBL,CHEMBL462823,Magnolia sp.,Magnolia sp.,,,silver,pref_name__icontains=kobusin,2026-05-28T23:15:56Z
PEYUIKBAABKQKQ-AFHBHXEDSA-N,PEYUIKBAABKQKQ,ChEMBL,CHEMBL252915,Magnolia sp.,Magnolia sp.,,,silver,pref_name__icontains=sesamin,2026-05-28T23:15:56Z
JOCPSXXUQJXDBI-AUSJPIAWSA-N,JOCPSXXUQJXDBI,ChEMBL,CHEMBL1079706,Magnolia sp.,Magnolia sp.,,,silver,pref_name__icontains=sesamin,2026-05-28T23:15:56Z
AWLJZFUREZNLGG-RXABKWRFSA-N,AWLJZFUREZNLGG,ChEMBL,CHEMBL1641633,Magnolia sp.,Magnolia sp.,,,silver,pref_name__icontains=sesamin,2026-05-28T23:15:56Z
HVDZWQPYIXKSCL-LFZZSFSNSA-N,HVDZWQPYIXKSCL,ChEMBL,CHEMBL2059647,Magnolia sp.,Magnolia sp.,,,silver,pref_name__icontains=sesamin,2026-05-28T23:15:56Z
KOWMJRJXZMEZLD-HCIHMXRSSA-N,KOWMJRJXZMEZLD,ChEMBL,CHEMBL361362,Magnolia sp.,Magnolia sp.,,,silver,pref_name__icontains=syringaresinol,2026-05-28T23:15:56Z
XPBIHYWXQUQBSV-XACLWUNASA-N,XPBIHYWXQUQBSV,ChEMBL,CHEMBL2251620,Magnolia sp.,Magnolia sp.,,,silver,pref_name__icontains=syringaresinol,2026-05-28T23:15:56Z
HXYWTHKMGYZWGQ-FDIWBVFJSA-N,HXYWTHKMGYZWGQ,ChEMBL,CHEMBL2442735,Magnolia sp.,Magnolia sp.,,,silver,pref_name__icontains=syringaresinol,2026-05-28T23:15:56Z
