compound_name,canonical_smiles,inchi,inchikey,molecular_formula,molecular_weight,source_db,source_id,species,plant_part,doi,evidence_tier,query_term,query_date
Naphthalene,,,,C10H8,0.0,KNApSAcK,C00001259,Magnolia liliiflora,,,gold,Magnolia,2026-05-28T23:05:25Z
n-Pentadecane,,,,C15H32,0.0,KNApSAcK,C00001265,Magnolia acuminata,,,gold,Magnolia,2026-05-28T23:05:25Z
Dopamine,,,,C8H11NO2,0.0,KNApSAcK,C00001408,Magnolia officinalis,,,gold,Magnolia,2026-05-28T23:05:25Z
Dopamine,,,,C8H11NO2,0.0,KNApSAcK,C00001408,Magnolia obovata,,,gold,Magnolia,2026-05-28T23:05:25Z
Tyramine,,,,C8H11NO,0.0,KNApSAcK,C00001435,Magnolia officinalis,,,gold,Magnolia,2026-05-28T23:05:25Z
Tyramine,,,,C8H11NO,0.0,KNApSAcK,C00001435,Magnolia obovata,,,gold,Magnolia,2026-05-28T23:05:25Z
Anonaine,,,,C17H15NO2,0.0,KNApSAcK,C00001807,Magnolia officinalis,,,gold,Magnolia,2026-05-28T23:05:25Z
Anonaine,,,,C17H15NO2,0.0,KNApSAcK,C00001807,Magnolia obovata,,,gold,Magnolia,2026-05-28T23:05:25Z
Berberine,,,,C20H18NO4,0.0,KNApSAcK,C00001819,Magnolia biondii,,,gold,Magnolia,2026-05-28T23:05:25Z
Jatrorrhizine,,,,C20H20NO4,0.0,KNApSAcK,C00001874,Magnolia biondii,,,gold,Magnolia,2026-05-28T23:05:25Z
Liriodenine,,,,C17H9NO3,0.0,KNApSAcK,C00001878,Magnolia obovata,,,gold,Magnolia,2026-05-28T23:05:25Z
Liriodenine,,,,C17H9NO3,0.0,KNApSAcK,C00001878,Magnolia abovata,,,gold,Magnolia,2026-05-28T23:05:25Z
Liriodenine,,,,C17H9NO3,0.0,KNApSAcK,C00001878,Magnolia coco,,,gold,Magnolia,2026-05-28T23:05:25Z
Liriodenine,,,,C17H9NO3,0.0,KNApSAcK,C00001878,Magnolia grandiflora,,,gold,Magnolia,2026-05-28T23:05:25Z
Magnoflorine,,,,C20H24NO4,0.0,KNApSAcK,C00001885,Magnolia grandiflora,,,gold,Magnolia,2026-05-28T23:05:25Z
Magnoflorine,,,,C20H24NO4,0.0,KNApSAcK,C00001885,Magnolia denudata,,,gold,Magnolia,2026-05-28T23:05:25Z
Magnoflorine,,,,C20H24NO4,0.0,KNApSAcK,C00001885,Magnolia accuminata,,,gold,Magnolia,2026-05-28T23:05:25Z
Magnoflorine,,,,C20H24NO4,0.0,KNApSAcK,C00001885,Magnolia officinalis,,,gold,Magnolia,2026-05-28T23:05:25Z
Magnoflorine,,,,C20H24NO4,0.0,KNApSAcK,C00001885,Magnolia kobus,,,gold,Magnolia,2026-05-28T23:05:25Z
Magnoflorine,,,,C20H24NO4,0.0,KNApSAcK,C00001885,Magnolia speciosa,,,gold,Magnolia,2026-05-28T23:05:25Z
Magnoflorine,,,,C20H24NO4,0.0,KNApSAcK,C00001885,Magnolia soulangeana,,,gold,Magnolia,2026-05-28T23:05:25Z
Palmatine,,,,C21H22NO4,0.0,KNApSAcK,C00001898,Magnolia gracilipes,,,gold,Magnolia,2026-05-28T23:05:25Z
Palmatine,,,,C21H22NO4,0.0,KNApSAcK,C00001898,Magnolia biondii,,,gold,Magnolia,2026-05-28T23:05:25Z
(+)-Reticuline,,,,C19H23NO4,0.0,KNApSAcK,C00001910,Magnolia officinalis,,,gold,Magnolia,2026-05-28T23:05:25Z
Candicine,,,,C11H18NO,0.0,KNApSAcK,C00002319,Magnolia grandiflora,,,gold,Magnolia,2026-05-28T23:05:25Z
Antirrhinin,,,,C27H31O15.Cl,0.0,KNApSAcK,C00002376,Magnolia spp.,,,gold,Magnolia,2026-05-28T23:05:25Z
Eudesobovatol A,,,,C33H44O4,0.0,KNApSAcK,C00002602,Magnolia obovata,,,gold,Magnolia,2026-05-28T23:05:25Z
Fargesone A,,,,C21H24O6,0.0,KNApSAcK,C00002603,Magnolia fargesii,,,gold,Magnolia,2026-05-28T23:05:25Z
Grandisin,,,,C24H32O7,0.0,KNApSAcK,C00002607,Magnolia denudata,,,gold,Magnolia,2026-05-28T23:05:25Z
Hinokiol,,,,C20H30O2,0.0,KNApSAcK,C00002609,Magnolia officinalis,,,gold,Magnolia,2026-05-28T23:05:25Z
Hinokiol,,,,C20H30O2,0.0,KNApSAcK,C00002609,Magnolia obovata,,,gold,Magnolia,2026-05-28T23:05:25Z
Kadsurin A,,,,C21H24O6,0.0,KNApSAcK,C00002610,Magnolia denudata,,,gold,Magnolia,2026-05-28T23:05:25Z
Magnosalicin,,,,C24H32O7,0.0,KNApSAcK,C00002612,Magnolia salicifolia,,,gold,Magnolia,2026-05-28T23:05:25Z
Randainol,,,,C18H18O3,0.0,KNApSAcK,C00002622,Magnolia officinalis,,,gold,Magnolia,2026-05-28T23:05:25Z
(+)-Lirioresinol B,,,,C22H26O8,0.0,KNApSAcK,C00002631,Magnolia coco,,,gold,Magnolia,2026-05-28T23:05:25Z
(+)-Lirioresinol B,,,,C22H26O8,0.0,KNApSAcK,C00002631,Magnolia denudata,,,gold,Magnolia,2026-05-28T23:05:25Z
(+)-Lirioresinol B,,,,C22H26O8,0.0,KNApSAcK,C00002631,Magnolia grandiflora var. rubra,,,gold,Magnolia,2026-05-28T23:05:25Z
(+)-Lirioresinol B,,,,C22H26O8,0.0,KNApSAcK,C00002631,Magnolia officinalis,,,gold,Magnolia,2026-05-28T23:05:25Z
(+)-Veraguensin,,,,C22H28O5,0.0,KNApSAcK,C00002633,Magnolia denudata,,,gold,Magnolia,2026-05-28T23:05:25Z
(+)-Veraguensin,,,,C22H28O5,0.0,KNApSAcK,C00002633,Magnolia liliiflora,,,gold,Magnolia,2026-05-28T23:05:25Z
(+)-Veraguensin,,,,C22H28O5,0.0,KNApSAcK,C00002633,Magnolia acuminata,,,gold,Magnolia,2026-05-28T23:05:25Z
Anisaldehyde,,,,C8H8O2,0.0,KNApSAcK,C00002636,Magnolia salicifolia,,,gold,Magnolia,2026-05-28T23:05:25Z
4-Hydroxybenzaldehyde,,,,C7H6O2,0.0,KNApSAcK,C00002657,Magnolia officinalis,,,gold,Magnolia,2026-05-28T23:05:25Z
Vanillic acid,,,,C8H8O4,0.0,KNApSAcK,C00002682,Magnolia liliiflora,,,gold,Magnolia,2026-05-28T23:05:25Z
Vanillic acid,,,,C8H8O4,0.0,KNApSAcK,C00002682,Magnolia denudata,,,gold,Magnolia,2026-05-28T23:05:25Z
Anethole,,,,C10H12O,0.0,KNApSAcK,C00002713,Magnolia salicifolia,,,gold,Magnolia,2026-05-28T23:05:25Z
3-O-Caffeoylquinic acid,,,,C16H18O9,0.0,KNApSAcK,C00002724,Magnolia liliiflora,,,gold,Magnolia,2026-05-28T23:05:25Z
3-O-Caffeoylquinic acid,,,,C16H18O9,0.0,KNApSAcK,C00002724,Magnolia denudata,,,gold,Magnolia,2026-05-28T23:05:25Z
Coniferaldehyde,,,,C10H10O3,0.0,KNApSAcK,C00002728,Magnolia officinalis,,,gold,Magnolia,2026-05-28T23:05:25Z
Estragol,,,,C10H12O,0.0,KNApSAcK,C00002740,Magnolia kobus,,,gold,Magnolia,2026-05-28T23:05:25Z
Methyleugenol,,,,C11H14O2,0.0,KNApSAcK,C00002741,Magnolia salicifolia,,,gold,Magnolia,2026-05-28T23:05:25Z
Myristicin,,,,C11H12O3,0.0,KNApSAcK,C00002762,Magnolia salicifolia,,,gold,Magnolia,2026-05-28T23:05:25Z
Safrole,,,,C10H10O2,0.0,KNApSAcK,C00002771,Magnolia salicifolia,,,gold,Magnolia,2026-05-28T23:05:25Z
Sinapaldehyde,,,,C11H12O4,0.0,KNApSAcK,C00002775,Magnolia officinalis,,,gold,Magnolia,2026-05-28T23:05:25Z
Sinapic acid,,,,C11H12O5,0.0,KNApSAcK,C00002776,Magnolia denudata,,,gold,Magnolia,2026-05-28T23:05:25Z
Sinapic acid,,,,C11H12O5,0.0,KNApSAcK,C00002776,Magnolia liliiflora,,,gold,Magnolia,2026-05-28T23:05:25Z
Sinapyl alcohol,,,,C11H14O4,0.0,KNApSAcK,C00002778,Magnolia sieboldii,,,gold,Magnolia,2026-05-28T23:05:25Z
Acteoside,,,,C29H36O15,0.0,KNApSAcK,C00002783,Magnolia officinalis,,,gold,Magnolia,2026-05-28T23:05:25Z
Camphene,,,,C10H16,0.0,KNApSAcK,C00003029,Magnolia liliiflora,,,gold,Magnolia,2026-05-28T23:05:25Z
Camphene,,,,C10H16,0.0,KNApSAcK,C00003029,Magnolia officinalis,,,gold,Magnolia,2026-05-28T23:05:25Z
p-Cymene,,,,C10H14,0.0,KNApSAcK,C00003040,Magnolia officinalis,,,gold,Magnolia,2026-05-28T23:05:25Z
(+-)-Linalool,,,,C10H18O,0.0,KNApSAcK,C00003047,Magnolia officinalis,,,gold,Magnolia,2026-05-28T23:05:25Z
